"종목코드","종목명","종가","대비","등락률","상장시가총액"
"X005930.KS","삼성전자",451000,-3000,-0.66,66432000987000
"X005490.KS","POSCO",380000,3000,0.8,33130997300000
"X015760.KS","한국전력",29600,-250,-0.84,18990404275200
"X017670.KS","SK텔레콤",209000,-500,-0.24,16969485599000
"X009540.KS","현대중공업",199500,3000,1.53,1.5162e+13
"X105560.KS","KB금융",33700,-800,-2.32,12009052054100
"X055550.KS","신한지주",29700,-250,-0.83,11767127733900
"X033780.KS","KT&G",79100,-1900,-2.35,10978486512700
"X066570.KS","LG전자",74800,-100,-0.13,10819656487200
"X030200.KS","KT",37500,-100,-0.27,10257588750000
"X004170.KS","신세계",482000,10000,2.12,9.090761e+12
"X000810.KS","삼성화재",188500,5000,2.72,8930156774500
"X005380.KS","현대차",39500,0,0,8700920920500
"X034220.KS","LG디스플레이",21000,0,0,7514129700000
"X003550.KS","LG",42700,500,1.18,7368189493700
"X096770.KS","SK에너지",75300,5300,7.57,6962656969200
"X010950.KS","S-Oil",61500,-200,-0.32,6923841708000
"X034020.KS","두산중공업",62900,2000,3.28,6601562570000
"X000720.KS","현대건설",57100,-300,-0.52,6338006584400
"X035420.KS","NHN",130000,3500,2.77,6256601520000
"X023530.KS","롯데쇼핑",210000,14500,7.42,6099108540000
"X012330.KS","현대모비스",63100,-200,-0.32,5526992541700
"X051910.KS","LG화학",71000,300,0.42,5341952670000
"X010140.KS","삼성중공업",22600,-300,-1.31,5217783723600
"X011200.KS","현대상선",37100,2050,5.85,4937016795900
"X010060.KS","동양제철화학",220000,-3000,-1.35,4600112220000
"X029780.KS","삼성카드",36700,400,1.1,4512591299700
"X036460.KS","한국가스공사",57500,-1500,-2.54,4443859325000
"X016360.KS","삼성증권",62000,-700,-1.12,4143780230000
"X086790.KS","하나금융지주",19500,500,2.63,4131106063500
"X004940.KS","외환은행",6330,-30,-0.47,4082260208580
"X090430.KS","아모레퍼시픽",654000,14000,2.19,3823185246000
"X000120.KS","대한통운",89000,1600,1.83,3575728436000
"X024110.KS","기업은행",7690,40,0.52,3403941072770
"X004020.KS","현대제철",37600,500,1.35,3192161754400
"X000660.KS","하이닉스",6700,60,0.9,3079338693000
"X002380.KS","KCC",287500,0,0,3.0245e+12
"X051900.KS","LG생활건강",190000,3000,1.6,2967457430000
"X006360.KS","GS건설",58000,300,0.52,2.958e+12
"X042660.KS","대우조선해양",15350,0,0,2937848135300
"X035250.KS","강원랜드",13650,150,1.11,2920287825000
"X047040.KS","대우건설",8880,110,1.25,2892383263680
"X032640.KS","LG텔레콤",9930,-170,-1.68,2753374809900
"X003490.KS","대한항공",38000,-750,-1.94,2734921978000
"X010620.KS","현대미포조선",135000,-3000,-2.17,2.7e+12
"X006400.KS","삼성SDI",55000,-300,-0.54,2505708755000
"X078930.KS","GS",26900,1150,4.47,2499423668200
"X009150.KS","삼성전기",33300,-800,-2.35,2487300076800
"X006260.KS","LS",76300,0,0,2.45686e+12
"X042670.KS","두산인프라코어",14550,-550,-3.64,2447417437200
"X012630.KS","현대산업",32450,50,0.15,2446216641000
"X006800.KS","대우증권",12800,-550,-4.12,2433291404800
"X000150.KS","두산",96500,3100,3.32,2386714428000
"X000240.KS","한국타이어",15300,300,2,2328505913700
"X000270.KS","기아차",6550,20,0.31,2274359480250
"X012450.KS","삼성테크윈",28500,200,0.71,2.1945e+12
"X047050.KS","대우인터내셔",22700,650,2.95,2156245215200
"X000100.KS","유한양행",220000,5000,2.33,2116373380000
"X012750.KS","에스원",54000,1100,2.08,2051955612000
"X001740.KS","SK네트웍스",8400,230,2.82,2041173103200
