"Symbol","N_trade","Win_ratio","Payoff_ratio","Profit_factor"
"AAPL",636,0.31,1.485,0.666
"MSFT",630,0.324,1.354,0.649
"AMZN",620,0.348,1.705,0.911
"NVDA",619,0.338,1.648,0.84
"IDXX",656,0.311,1.45,0.654
"MCHP",635,0.317,1.391,0.644
"NFLX",655,0.321,1.494,0.705
"ADBE",630,0.349,1.572,0.843
"CSCO",657,0.279,1.486,0.574
"INTU",643,0.309,1.323,0.593
"QCOM",647,0.275,1.39,0.528
"SBUX",665,0.301,1.34,0.576
"ILMN",621,0.359,1.543,0.865
"ISRG",642,0.321,1.547,0.731
"AMGN",611,0.308,1.494,0.664
"AMAT",630,0.292,1.758,0.725
"GILD",624,0.296,1.721,0.725
"LRCX",620,0.34,1.431,0.738
"MELI",638,0.326,1.742,0.843
"CME",622,0.293,1.631,0.675
"FISV",665,0.29,1.347,0.551
"REGN",626,0.329,1.798,0.882
"MRVL",638,0.303,1.664,0.722
"ALGN",649,0.316,1.494,0.69
"DXCM",634,0.334,1.61,0.809
"LULU",635,0.328,1.651,0.804
"KLAC",622,0.317,1.449,0.672
"EBAY",646,0.307,1.339,0.592
"VRTX",615,0.302,2.032,0.881
"SNPS",647,0.308,1.298,0.577
"TROW",629,0.312,1.366,0.618
"PAYX",628,0.285,1.391,0.555
"ORLY",653,0.297,1.491,0.63
"CTAS",644,0.272,1.639,0.611
"POOL",642,0.327,1.353,0.658
"CTSH",644,0.326,1.212,0.587
"XLNX",640,0.319,1.434,0.671
"ROST",646,0.289,1.577,0.643
"SBAC",621,0.34,1.335,0.687
"MPWR",635,0.329,1.285,0.63
"ANSS",632,0.307,1.626,0.72
"GRMN",629,0.323,1.369,0.652
"SGEN",623,0.352,1.489,0.807
"ZBRA",637,0.298,1.779,0.756
"ALNY",639,0.321,1.653,0.781
"DISH",647,0.295,1.492,0.625
"VRSN",647,0.314,1.472,0.673
"TSCO",642,0.31,1.606,0.721
"DLTR",644,0.323,1.428,0.681
"CERN",630,0.303,1.532,0.666
"TRMB",607,0.326,1.657,0.802
"ULTA",642,0.332,1.368,0.679
"NTAP",629,0.326,1.449,0.7
"PODD",637,0.336,1.624,0.822
"TTWO",627,0.34,1.332,0.685
"PFG",621,0.33,1.366,0.673
"HOLX",654,0.303,1.237,0.537
"SBNY",638,0.309,1.563,0.698
"AKAM",651,0.306,1.492,0.657
"ENTG",633,0.313,1.469,0.669
